,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
251,Anne of Avonlea,['L. M. Montgomery'],Tundra Books,2014-09-09,1770498613,9781770498617,352,,,US,6.99,USD,2014
252,Anne of Green Gables,['L. Montgomery'],ePenguin,2008-08-07,0141321598,9780141321592,464,,,,,,2008
253,Anne of Ingleside,['Lucy Maud Montgomery'],Starfire,1998,0553213156,9780553213157,277,3.5,26,,,,1998
255,Black Beauty,['Anne Sewell'],Lindhardt og Ringhof,2017-01-04,9176392694,9789176392690,255,,,US,4.13,USD,2017
256,Black Beauty,['Anna Sewell'],Collector's Library,2008,1905716419,9781905716418,238,,,,,,2008
257,Black Beauty,['Anna Sewell'],Yearling Books,2000-12,0440416450,9780440416456,240,,,,,,2000
259,Anna Sewell's Black Beauty,['Cathy East'],Penguin,2009-06-25,2070631885,9782070631889,48,,,,4.99,USD,2009
260,Black Beauty,['Anna Sewell'],Gallimard-Jeunesse,2010-08-01,1952433045,9781952433047,270,,,US,,,2010
261,The Illustrated Black Beauty,['Anna Sewell'],SeaWolf Press,2020-03-17,014240408X,9780142404089,210,,,,,,2020
262,Anna Sewell's Black Beauty,"['June Brigman', 'Anna Sewell', 'Roy Richardson']",Puffin Books,2005,0394865758,9780394865751,176,3.5,3,,,,2005
263,Black Beauty,['Robin McKinley'],Random House Books for Young Readers,1986,,,68,5,3,,,,1986
265,Reflections on the Name of the Rose,['Umberto Eco'],Vintage,1984,074939627X,9780749396275,84,,,,,,1984
266,The Name of the Rose,['Umberto Eco'],Houghton Mifflin Harcourt,2014,0544176561,9780544176560,579,3.5,157,,,,2014
267,Postscript to The Name of the Rose,"['Umberto Eco', 'Professor of Semiotics Umberto Eco']",San Diego : Harcourt Brace Jovanovich,1984,0472086219,9780472086214,84,5,1,,,,1984
268,"The Key to ""The Name of the Rose""","['Adele J. Haft', 'Jane G. White', 'Robert J. White']",University of Michigan Press,1999,1410353575,9781410353573,194,4,6,,,,1999
269,"A Study Guide for Umberto Eco's ""The Name of the Rose""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,0674240898,9780674240896,27,,,US,3.99,USD,2016
270,Naming the Rose,"['M. Thomas Inge', 'Robert Emory Blackwell Professor of the Humanities M Thomas Inge']","Jackson, MS : University Press of Mississippi",1988,2806273544,9782806273543,206,,,,,,1988
273,On the Shoulders of Giants,['Umberto Eco'],Belknap Press,2019,,,288,,,,,,2019
274,The Name of the Rose by Umberto Eco (Book Analysis),['Bright Summaries'],BrightSummaries.com,2016-02-26,,,62,,,,,,2016
275,The Eagle Has Landed,['Jack Higgins'],Open Road Media,2011-03-29,1453215085,9781453215081,390,5,2,US,11.99,USD,2011
276,The Eagle Has Flown,['Jack Higgins'],Simon and Schuster,1991-11-01,0671746693,9780671746698,336,4,7,,,,1991
277,The Liam Devlin Novels,['Jack Higgins'],Open Road Media,2016-06-28,1504038819,9781504038812,706,,,US,25.99,USD,2016
281,The Savage Day,['Jack Higgins'],Open Road Media,2010-06-22,1936317389,9781936317387,344,4.5,2,US,8.99,USD,2010
284,Touch the Devil,['Jack Higgins'],Open Road Media,2010-06-22,,,208,4,2,US,7.99,USD,2010
285,Watership Down,['Richard Adams'],Puffin,2018-11-29,0141378948,9780141378947,656,4,234,,,,2018
286,Tales from Watership Down,['Richard Adams'],Vintage,2012-12-11,0307950190,9780307950192,267,3.5,22,,,,2012
288,Watership Down,['Richard Adams'],Simon and Schuster,2009-07-14,1786073099,9781439176122,496,4.5,306,US,13.99,USD,2009
291,A Study Guide for Richard Adams's Watership Down,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-09-15,8432228540,9781230611884,15,,,US,3.99,USD,2015
292,Novels by Richard Adams,['Source Wikipedia'],University-Press.org,2013-09,,9788432228544,30,,,,,,2013
295,The Hite Report,['Shere Hite'],Seven Stories Press,2011-01-04,1609800354,9781609800352,512,4,1,US,14.99,USD,2011
297,The Shere Hite Reader,['Shere Hite'],Seven Stories Press,2011-01-04,0802134513,9780802134516,560,,,US,17.99,USD,2011
298,The Hite Report on the Family,['Shere Hite'],Grove Press,1996-04,0600601161,9780600601166,424,,,,,,1996
299,The Hite Report on Shere Hite,['Shere Hite'],Arcadia Books Limited,2000,0671069632,9780671069636,327,,,,,,2000
301,The Hite Report,['Shere Hite'],Bookthrift Company,1984-05,0356201295,9780356201290,438,,,,,,1984
303,The Hite Report on Women Loving Women,['Shere Hite'],Arcadia Books Limited,2007,,,213,,,,,,2007
305,Charlotte's Web (full color),['E. B. White'],Harper Collins,2001-10-02,0064410935,9780064410939,192,4,3872,,,,2001
306,Charlotte’s Web,['E. B. White'],HarperCollins UK,2015-03-17,0008139415,9780008139414,320,4.5,276,,,,2015
307,Charlotte's Web,['E. B. White'],HarperCollins,2015-03-17,0062406787,9780062406781,192,4.5,20,US,6.99,USD,2015
308,The Story of Charlotte's Web,['Michael Sims'],Bloomsbury Publishing USA,2011-06-07,0802778178,9780802778178,320,4.5,15,US,12.8,USD,2011
309,Charlotte's Web Read-Aloud Edition,"['E. B. White', 'Kate DiCamillo']",HarperCollins,2006-10-31,0060882611,9780060882617,192,4,19,,,,2006
313,The Annotated Charlotte's Web,['E. B. White'],HarperCollins,2006-10-31,006075740X,9780060757403,320,,,,,,2006
314,Charlotte's Web (Spanish edition),['E. B. White'],Rayo,2005-10-04,,,224,5,1,,,,2005
315,The Ginger Man,['J. P. Donleavy'],Open Road + Grove/Atlantic,2010-07-01,0802198163,9780802198167,368,3.5,10,US,10.99,USD,2010
316,The History of The Ginger Man,['James Patrick Donleavy'],Houghton Mifflin Harcourt,1994,083921037X,9780839210375,517,,,,,,1994
318,The Ginger Man,['James Patrick Donleavy'],Astor-Honor Incorporated,1958,,,381,3.5,10,,,,1958
320,The Ginger Man,['James P. Donleavy'],Astor-Honor Incorporated,1958-01-01,,,381,3.5,10,,,,1958
325,The Tale of Peter Rabbit,['Beatrix Potter'],Penguin,2018-05-01,1524790095,9781524790097,28,4,68,US,4.99,USD,2018
326,The Tale of Peter Rabbit,['Beatrix Potter'],Independently Published,2021-04-12,1604333766,9798736855902,28,4.5,2,,,,2021
327,The Classic Tale of Peter Rabbit,['Beatrix Potter'],Applesauce Press,2013-10-01,0486217116,9781604333763,74,,,,,,2013
328,The Tale of Peter Rabbit Coloring Book,['Beatrix Potter'],Courier Corporation,1971-01-01,0723268568,9780486217116,31,5,1,,,,1971
329,The Tale of Peter Rabbit,['Beatrix Potter'],Frederick Warne Publishers,2012,1101654953,9780723268567,10,4.5,2,,,,2012
330,The Further Tale of Peter Rabbit,['Emma Thompson'],Penguin,2012-10-11,0723257639,9781101654958,72,,,US,10.99,USD,2012
331,The World of Peter Rabbit,['Beatrix Potter'],Warne,2006-03-30,1604339225,9780723257639,1388,,,,,,2006
333,The Complete Tales of Beatrix Potter's Peter Rabbit,['Beatrix Potter'],Racehorse Publishing,2018,0871293560,9781631581717,96,,,,,,2018
334,The Adventures of Peter Rabbit and His Friends,"['Joseph Robinette', 'Beatrix Potter']",Dramatic Publishing,1994,,9780871293565,71,,,,,,1994
336,Jonathan Livingston Seagull,['Richard Bach'],Simon and Schuster,2014-10-21,147679331X,9781476793313,144,3.5,74,,,,2014
337,Jonathan Livingston Seagull,"['Richard Bach', 'Russell Munson']",HarperCollins UK,1994,0006490344,9780006490340,93,3.5,76,,,,1994
338,Jonathan Livingston Seagull: A story,['Richard Bach'],HarperCollins UK,2015-09-17,0008162980,9780008162986,144,3,69,,,,2015
